fold,phase,condition,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
2,latency,ADK,full,MinMaxScaler,RF,50,13,15,0.2417,4.1823,5.147,0.4164,-0.0034,0.338
2,latency,ADK,full,MinMaxScaler,ET,50,13,15,0.2335,4.4223,5.2969,0.3281,-0.0627,0.2659
2,latency,ADK,full,MinMaxScaler,GB,50,13,15,0.2403,4.9431,5.5989,0.3588,-0.1873,0.2742
2,latency,ADK,full,MinMaxScaler,XGB,50,13,15,0.1951,5.0282,6.2216,0.2621,-0.4661,0.1856
2,latency,ADK,full,MinMaxScaler,MLP,50,13,15,0.3648,4.2613,5.2442,0.4003,-0.0416,0.3851
2,latency,ADK,full,MinMaxScaler,LGBM,50,13,15,0.2685,4.8022,5.5373,0.3968,-0.1613,0.3906
2,latency,ADK,full,MinMaxScaler,CatBoost,50,13,15,0.2062,4.6592,5.447,0.3569,-0.1238,0.1995
2,latency,ADK,full,RobustScaler,Ridge,50,13,15,0.4183,4.1221,4.6772,0.5224,0.1714,0.4848
2,latency,ADK,full,RobustScaler,Lasso,50,13,15,0.4408,4.0788,5.0277,0.7546,0.0426,0.7479
2,latency,ADK,full,RobustScaler,ElasticNet,50,13,15,0.5451,3.7277,4.1682,0.685,0.342,0.6482
2,latency,ADK,full,RobustScaler,SVR,50,13,15,0.3193,4.4633,5.2492,0.5079,-0.0436,0.3657
2,latency,ADK,full,RobustScaler,KNN,50,13,15,0.2741,4.2637,5.2974,0.307,-0.0629,0.3806
2,latency,ADK,full,RobustScaler,RF,50,13,15,0.2636,3.8723,4.988,0.3738,0.0577,0.3773
2,latency,ADK,full,RobustScaler,ET,50,13,15,0.2758,4.0838,5.1133,0.3792,0.0097,0.3629
2,latency,ADK,full,RobustScaler,GB,50,13,15,0.2884,4.4394,5.3807,0.4555,-0.0966,0.3989
2,latency,ADK,full,RobustScaler,XGB,50,13,15,0.3975,3.7457,4.8576,0.4514,0.1063,0.518
2,latency,ADK,full,RobustScaler,MLP,50,13,15,0.5031,4.442,5.033,0.5639,0.0406,0.4986
2,latency,ADK,full,RobustScaler,LGBM,50,13,15,0.4175,3.783,4.6454,0.5311,0.1827,0.5076
2,latency,ADK,full,RobustScaler,CatBoost,50,13,15,0.2294,4.2966,5.0594,0.408,0.0305,0.2299
3,latency,ADK,full,StandardScaler,Ridge,50,13,5,0.1786,6.393,7.8148,0.1794,-0.5072,0.3867
3,latency,ADK,full,StandardScaler,Lasso,50,13,5,0.178,6.3959,7.809,0.1788,-0.5049,0.3867
3,latency,ADK,full,StandardScaler,ElasticNet,50,13,5,0.1761,6.4139,7.7468,0.1773,-0.481,0.3812
3,latency,ADK,full,StandardScaler,SVR,50,13,5,0.2487,5.2849,6.0888,0.3245,0.0851,0.2818
3,latency,ADK,full,StandardScaler,KNN,50,13,5,0.257,5.7385,6.1896,0.317,0.0545,0.296
3,latency,ADK,full,StandardScaler,RF,50,13,5,0.2275,5.44,5.828,0.4364,0.1618,0.442
3,latency,ADK,full,StandardScaler,ET,50,13,5,0.215,5.5103,6.0512,0.3232,0.0963,0.3591
3,latency,ADK,full,StandardScaler,GB,50,13,5,0.1563,5.5402,6.1549,0.2634,0.0651,0.2762
3,latency,ADK,full,StandardScaler,XGB,50,13,5,0.1739,5.5743,6.1212,0.2822,0.0753,0.2873
3,latency,ADK,full,StandardScaler,MLP,50,13,5,0.0349,6.4868,8.0787,0.0361,-0.6107,0.1657
3,latency,ADK,full,StandardScaler,LGBM,50,13,5,0.1081,5.7072,6.3034,0.2146,0.0194,0.2503
3,latency,ADK,full,StandardScaler,CatBoost,50,13,5,0.2562,5.3761,5.9066,0.3911,0.139,0.3094
3,latency,ADK,full,MinMaxScaler,Ridge,50,13,10,0.2042,6.9096,7.4874,0.2071,-0.3835,0.1657
3,latency,ADK,full,MinMaxScaler,Lasso,50,13,10,0.1184,6.7379,7.6591,0.1213,-0.4477,0.0994
3,latency,ADK,full,MinMaxScaler,ElasticNet,50,13,10,0.1755,6.9889,7.6413,0.1777,-0.441,0.1768
3,latency,ADK,full,MinMaxScaler,SVR,50,13,10,-0.1595,6.6005,7.798,-0.1926,-0.5007,-0.0829
3,latency,ADK,full,MinMaxScaler,KNN,50,13,10,0.026,6.4359,7.7156,0.0278,-0.4691,0.0719
3,latency,ADK,full,MinMaxScaler,RF,50,13,10,0.1116,5.6546,6.2486,0.2143,0.0364,0.0718
3,latency,ADK,full,MinMaxScaler,ET,50,13,10,0.0884,5.8108,6.591,0.125,-0.0721,0.0276
3,latency,ADK,full,MinMaxScaler,GB,50,13,10,0.0675,6.3277,6.8522,0.0861,-0.1587,0.1381
