fold,phase,condition,target,target_short,features,scaler,model,n_train,n_test,n_features,CCC,MAE,RMSE,Pearson_r,R2,Spearman_r
1,latency,CR,phq_8,PHQ8,full,StandardScaler,Ridge,50,13,5,-0.2085,5.7784,7.3072,-0.2665,-0.7064,-0.1986
1,latency,CR,phq_8,PHQ8,full,StandardScaler,Lasso,50,13,5,-0.2865,7.0235,8.8497,-0.3203,-1.5029,-0.2207
1,latency,CR,phq_8,PHQ8,full,StandardScaler,ElasticNet,50,13,5,-0.285,6.9902,8.8036,-0.3189,-1.4769,-0.2207
1,latency,CR,phq_8,PHQ8,full,StandardScaler,SVR,50,13,5,-0.0401,6.8672,7.5963,-0.0417,-0.8442,-0.0745
1,latency,CR,phq_8,PHQ8,full,StandardScaler,KNN,50,13,5,-0.0721,5.8242,6.9779,-0.0834,-0.5561,-0.105
1,latency,CR,phq_8,PHQ8,full,StandardScaler,RF,50,13,5,-0.2996,6.7981,7.8923,-0.3227,-0.9907,-0.3228
1,latency,CR,phq_8,PHQ8,full,StandardScaler,ET,50,13,5,-0.3264,6.6831,7.8719,-0.3552,-0.9804,-0.3007
1,latency,CR,phq_8,PHQ8,full,StandardScaler,GB,50,13,5,-0.2536,7.2074,8.2778,-0.2575,-1.1899,-0.2124
1,latency,CR,phq_8,PHQ8,full,StandardScaler,XGB,50,13,5,-0.2235,7.6328,8.4323,-0.2307,-1.2724,-0.1683
1,latency,CR,phq_8,PHQ8,full,StandardScaler,MLP,50,13,5,0.0438,5.7888,6.6801,0.0491,-0.4261,-0.0938
1,latency,CR,phq_8,PHQ8,full,StandardScaler,LGBM,50,13,5,-0.2249,6.2828,7.6674,-0.2501,-0.8789,-0.249
1,latency,CR,phq_8,PHQ8,full,StandardScaler,CatBoost,50,13,5,-0.2764,6.7043,7.9064,-0.2967,-0.9978,-0.2124
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,Ridge,50,13,5,-0.0934,5.677,7.0173,-0.125,-0.5738,-0.0441
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,Lasso,50,13,5,-0.1402,5.6313,7.0692,-0.1866,-0.5971,-0.1186
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,ElasticNet,50,13,5,-0.0867,5.898,7.2634,-0.1088,-0.6861,-0.0441
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,SVR,50,13,5,0.1976,6.3856,7.0899,0.2196,-0.6065,0.1131
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,KNN,50,13,5,0.1116,6.2051,6.8774,0.1332,-0.5116,0.0745
1,latency,CR,phq_8,PHQ8,full,MinMaxScaler,RF,50,13,5,0.2273,4.9977,6.1067,0.2517,-0.1918,0.3035
