scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,KNN,0.15497999999999998,0.2565179857241983,5.33936,0.9718499565262118,6.38978,0.21466,0.3461906815614771,-0.13368,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,ElasticNet,0.07186000000000001,0.21570888484251174,5.9734,1.6526028576158276,6.954680000000001,0.15387999999999996,0.3173568448923073,-0.33732,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,Ridge,0.0692,0.24915504209226835,6.514259999999998,1.5537587949871754,7.546000000000001,0.11586,0.30090581250617277,-0.59946,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,Lasso,0.06298000000000001,0.24739560828761692,6.483280000000001,1.5718212786446173,7.4953,0.10830000000000002,0.2979450704408449,-0.5761,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,Ridge,0.06232,0.23252106786267776,5.98772,1.6469220160651203,6.95038,0.1524,0.34781252852650374,-0.32416,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,ElasticNet,0.05284,0.2453953402165575,6.41648,1.5743505381585128,7.41674,0.09500000000000001,0.293675356473777,-0.5377799999999999,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,Ridge,0.04962000000000002,0.24093782808019168,6.0557799999999995,1.4112396065162005,7.0944199999999995,0.08226,0.31747407453207893,-0.41006,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,Lasso,0.043279999999999985,0.24364658216359203,6.200160000000001,1.579208058806692,7.2412399999999995,0.08349999999999999,0.3141895287879594,-0.4715,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,ElasticNet,0.03856,0.23726401539213654,6.15152,1.4634757555217646,7.174760000000001,0.0818,0.3211560601950398,-0.44401999999999997,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,SVR,0.0377,0.1316903565186153,6.240500000000001,1.2442946294989783,7.38056,0.07528000000000001,0.2138207356642475,-0.5580400000000001,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,ET,0.034999999999999996,0.1326291069109643,5.6472,0.8996993970210274,6.7158,0.07582,0.23945764134810985,-0.25744,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,MLP,0.03456,0.2651922755285304,6.05054,1.6348858317937678,6.972640000000001,0.09603999999999999,0.37420426641073995,-0.34802,5,positive_training,ADK,phq_8,PHQ8,full
MinMaxScaler,Lasso,0.024,0.24591174229792281,6.09152,1.6415593705376603,6.99982,0.09563999999999999,0.36262287986281283,-0.34782,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,SVR,0.005920000000000003,0.19186490559766264,5.982660000000001,0.851563898365824,7.112699999999999,-0.009039999999999998,0.23609581317761652,-0.40688,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,KNN,-0.005199999999999994,0.32646916393436,6.0686800000000005,1.1782224798398642,7.0849400000000005,-0.08530000000000001,0.4432689307858154,-0.37244,5,positive_training,ADK,phq_8,PHQ8,full
StandardScaler,MLP,-0.008479999999999998,0.14183529885046248,6.65984,0.845102563598052,7.6888000000000005,-0.009999999999999998,0.18133263633444477,-0.6640400000000001,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,KNN,-0.009559999999999996,0.2217348596860674,6.3301,0.7372583332862372,7.4196,-0.03752,0.2612362857644397,-0.5312600000000001,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,MLP,-0.03149999999999999,0.17243379889105268,6.402240000000001,0.8465624625507558,7.29872,-0.020879999999999992,0.24234265410777361,-0.5006,5,positive_training,ADK,phq_8,PHQ8,full
RobustScaler,ET,-0.03627999999999999,0.18464581500808513,6.097119999999999,0.5699351778930654,7.048140000000001,-0.05114,0.24651286579000292,-0.38142,5,positive_training,ADK,phq_8,PHQ8,full
