scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
MinMaxScaler,MLP,0.31296,0.22461087017328438,5.338119999999999,1.5053293101511047,6.412819999999999,0.37062000000000006,0.2708997637503584,-0.20973999999999998,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,KNN,0.30384,0.1737582746231097,4.9092199999999995,0.802854368487835,5.911320000000001,0.3947,0.21079175742898487,-0.027780000000000006,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.28169999999999995,0.09064703525212503,5.0858799999999995,0.7979558427632448,5.92376,0.33194,0.11368042047775861,-0.004719999999999997,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.27808,0.22264733773391499,5.1703,1.0418191901668927,6.245240000000001,0.33806,0.26645659684083634,-0.13599999999999998,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,CatBoost,0.2713,0.05733118697532784,4.84208,0.6500333660666964,5.67278,0.37832,0.11229896259538638,0.08452,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.26796,0.23762060727133916,5.063840000000001,0.9921933899195255,6.200699999999999,0.35065999999999997,0.3067112290086556,-0.21158000000000002,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.26606,0.23644154245817295,5.04444,1.1310368177031198,6.16768,0.32448,0.2892303614767993,-0.10461999999999998,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.26159999999999994,0.1334838567018499,5.1829600000000005,0.9737119918127741,6.229339999999999,0.30254000000000003,0.13746673415775906,-0.11164,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,RF,0.2519,0.1531225489599752,4.76106,0.9418011138239325,5.5841,0.3625,0.21642682366102406,0.10552000000000002,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.24888000000000005,0.27829306854465496,5.1943600000000005,1.201562887659235,6.397460000000001,0.30866,0.3505738624027752,-0.20415999999999998,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.2467,0.08594451698625108,4.6924,0.7189031054321577,5.69976,0.41416000000000003,0.15172266804930634,0.07261999999999999,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,LGBM,0.23742000000000002,0.10326183709386541,4.63406,0.7844158737557522,5.67146,0.39598,0.17343840981743347,0.07868,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Lasso,0.23584,0.2840690197821649,5.4443600000000005,1.2003338110709039,6.694459999999999,0.28002,0.34725599634851523,-0.33754,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.23308,0.16890352867835534,4.7694399999999995,0.9372776712372914,5.78098,0.34126,0.24270233414617173,0.020240000000000008,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.23220000000000002,0.23445748015365178,5.19486,1.1713678598117672,6.187880000000001,0.27854,0.26976531096492007,-0.08714,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ET,0.23164,0.10557070142800037,4.89574,0.860605239351934,5.7141399999999996,0.33918,0.14697206197097462,0.07848,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ElasticNet,0.22554,0.27580355871525664,5.415979999999999,1.1789815846738236,6.63236,0.27027999999999996,0.33929900088270226,-0.31448,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.22186,0.2852595011564032,4.799899999999999,0.6254112726838236,6.0490200000000005,0.28198,0.3544562977293534,-0.13736,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,Ridge,0.21586,0.2681802994255917,5.42642,1.1666495733509699,6.6103000000000005,0.27038,0.34358296232496743,-0.31405999999999995,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.21162,0.12349804451893155,4.86286,0.7561275937300526,5.75504,0.34443999999999997,0.21973907936459552,0.03745999999999999,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.21046,0.27509813339970157,5.89984,0.942579817840378,6.9009,0.2375,0.30912757075356445,-0.39638,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.20869999999999997,0.16829549904854854,4.90804,0.8664879704877612,5.82076,0.34165999999999996,0.2940223426884427,0.011140000000000006,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,Lasso,0.20732,0.2785648165149361,5.813999999999999,0.9874437224470058,6.823919999999999,0.23403999999999997,0.31207816809254696,-0.37482,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.20106000000000002,0.272691213646498,5.742520000000001,0.9906436125065359,6.75888,0.23043999999999998,0.31056730027483576,-0.35972000000000004,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
StandardScaler,LGBM,0.18756,0.09202436090514293,4.83058,0.8006290632996036,5.93464,0.30595999999999995,0.1530013169877959,-0.0032999999999999974,5,latency,ADK,phq_8,PHQ8,cross-corpus-882
