scaler,model,mean_CCC,std_CCC,mean_MAE,std_MAE,mean_RMSE,mean_r,std_r,mean_R2,n_folds,phase,condition,target,target_short,features
StandardScaler,KNN,0.06458,0.07430539684302884,5.1904200000000005,0.3085711133596272,6.25146,0.0875,0.10590243151127363,-0.14214,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ET,0.05956,0.0774182342862455,5.18136,0.4026805036253932,6.192480000000001,0.09268,0.12485458341606845,-0.12166000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,SVR,0.039779999999999996,0.10494204114653001,5.1905,0.37254981546096644,6.185600000000001,0.07718,0.15647981339457176,-0.12372000000000001,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,GB,0.034260000000000006,0.10358150414045937,5.301340000000001,0.4622759111180247,6.376860000000001,0.05272,0.13302741070922186,-0.1879,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,CatBoost,0.02586,0.09930973265496186,5.166980000000001,0.40963729932709997,6.1701,0.03935999999999999,0.15460442425752244,-0.11204,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,RF,0.024460000000000003,0.08458411789455512,5.15658,0.3914512511156404,6.19308,0.03848,0.1300135646769213,-0.11945999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,XGB,0.02144,0.08462270971790019,5.3275999999999994,0.37502511249248327,6.40304,0.03078000000000001,0.11571686134699645,-0.19908,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,SVR,0.02086,0.12820870875256485,5.2293,0.4983723005946461,6.178839999999999,0.04379999999999999,0.1910588783595256,-0.11948,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,ET,0.0191,0.054881827593475783,5.24576,0.21535479562805204,6.2952200000000005,0.02708,0.0762260585364349,-0.16002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,KNN,0.018220000000000004,0.07405870644292946,5.2426,0.37249857046705526,6.32026,0.02646,0.10910549023765945,-0.16665999999999997,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,XGB,0.0182,0.10815738532342578,5.35704,0.480656236826279,6.421380000000001,0.03286000000000001,0.14380945031533915,-0.20468000000000003,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,XGB,0.014560000000000003,0.1109548917353354,5.485940000000001,0.45839063908417654,6.48454,0.029200000000000004,0.14807298875892255,-0.23655999999999996,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,ElasticNet,0.010780000000000003,0.09392221249523458,5.11492,0.4072173891179011,6.059659999999999,0.03662,0.2070829712941168,-0.07583999999999999,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,MLP,0.008860000000000002,0.07418276754071663,5.193720000000001,0.45927555671949255,6.124080000000001,0.047799999999999995,0.15470562368576005,-0.098,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,GB,0.00794,0.06692520451967256,5.37,0.3351699792642533,6.44118,0.013079999999999998,0.09359290571405504,-0.21302000000000004,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,ElasticNet,0.006860000000000001,0.033539797256393784,5.1052599999999995,0.3527390579451047,6.0575600000000005,0.03208,0.1047896559780592,-0.07158,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,LGBM,0.005619999999999995,0.08459566773777484,5.45278,0.4039165408843764,6.582179999999999,0.005140000000000006,0.10466567250058635,-0.26454,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Lasso,0.00544,0.12537110113578806,5.23274,0.5169460203928451,6.2107,0.029080000000000005,0.22285217521935927,-0.13116,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,CatBoost,0.0028399999999999996,0.06423801833805273,5.1979,0.42542451151761335,6.254340000000001,0.010419999999999999,0.10423951745859149,-0.14384000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,Ridge,0.002060000000000002,0.046491214223764905,5.13542,0.3945730375988709,6.12778,0.016419999999999997,0.108807430812422,-0.09616,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,GB,0.0019800000000000035,0.08308728542924002,5.5758,0.3428405970710003,6.55882,0.00722,0.10623802050113698,-0.26204,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
MinMaxScaler,Ridge,0.0018399999999999968,0.12573898758937102,5.204700000000001,0.5050460028551856,6.16272,0.030259999999999992,0.2251322122664813,-0.11649999999999998,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
StandardScaler,RF,0.0003799999999999998,0.046078975683059624,5.226519999999999,0.36608958193316554,6.2579400000000005,0.004799999999999999,0.07617502871676518,-0.14550000000000002,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
RobustScaler,SVR,-0.0001799999999999996,0.04679905981961603,5.12358,0.3806627076560038,6.08292,0.04518,0.15443764761223217,-0.08082,5,positive_training,ALL_CONDITIONS,phq_8,PHQ8,cross-corpus-882
